name	taxonomy_id	taxonomy_lvl	PM06-C1D01_num	PM06-C1D01_frac	PM06-C1D02_num	PM06-C1D02_frac	PM06-C1D15_num	PM06-C1D15_frac	PM06-C1D36_num	PM06-C1D36_frac	PM06-S1_num	PM06-S1_frac
Cedecea neteri	158822	S	283	0.00011	58	0.00001	22	0.00001	40	0.00001	74	0.00001
Cedecea sp. FDAARGOS_727	2545798	S	96	0.00004	21	0.00000	12	0.00000	21	0.00000	14	0.00000
Cedecea lapagei	158823	S	81	0.00003	9	0.00000	1	0.00000	5	0.00000	5	0.00000
Cronobacter sakazakii	28141	S	221	0.00009	27	0.00001	7	0.00000	22	0.00000	472	0.00008
Cronobacter condimenti	1163710	S	46	0.00002	3	0.00000	5	0.00000	17	0.00000	9	0.00000
Cronobacter universalis	535744	S	32	0.00001	4	0.00000	3	0.00000	16	0.00000	73	0.00001
Cronobacter dublinensis	413497	S	30	0.00001	0	0.00000	2	0.00000	14	0.00000	3	0.00000
Cronobacter turicensis	413502	S	26	0.00001	1	0.00000	4	0.00000	9	0.00000	2	0.00000
Cronobacter malonaticus	413503	S	21	0.00001	1	0.00000	7	0.00000	2	0.00000	4	0.00000
Cronobacter sp. JZ38	1906275	S	26	0.00001	1	0.00000	0	0.00000	0	0.00000	2	0.00000
Cronobacter muytjensii	413501	S	4	0.00000	0	0.00000	9	0.00000	8	0.00000	0	0.00000
Shigella dysenteriae	622	S	332	0.00013	78	0.00001	97	0.00003	22	0.00000	1804	0.00029
Shigella flexneri	623	S	3471	0.00135	470	0.00009	351	0.00010	9	0.00000	11290	0.00181
Shigella boydii	621	S	261	0.00010	40	0.00001	84	0.00002	7	0.00000	1248	0.00020
Shigella sp. LN126	1072659	S	28	0.00001	0	0.00000	0	0.00000	0	0.00000	400	0.00006
Pluralibacter gergoviae	61647	S	164	0.00006	11	0.00000	17	0.00000	11	0.00000	69	0.00001
[Enterobacter] lignolyticus	1334193	S	143	0.00006	30	0.00001	12	0.00000	8	0.00000	29	0.00000
Yokenella regensburgei	158877	S	275	0.00011	20	0.00000	9	0.00000	3	0.00000	201	0.00003
Gibbsiella quercinecans	929813	S	156	0.00006	0	0.00000	4	0.00000	11	0.00000	8	0.00000
Buttiauxella sp. 3AFRM03	2479367	S	68	0.00003	5	0.00000	5	0.00000	6	0.00000	6	0.00000
Buttiauxella agrestis	82977	S	64	0.00002	6	0.00000	3	0.00000	8	0.00000	6	0.00000
Scandinavium goeteborgense	1851514	S	110	0.00004	7	0.00000	8	0.00000	3	0.00000	19	0.00000
Atlantibacter hermannii	565	S	89	0.00003	6	0.00000	8	0.00000	11	0.00000	292	0.00005
Pseudescherichia vulneris	566	S	85	0.00003	3	0.00000	1	0.00000	7	0.00000	42	0.00001
Candidatus Hamiltonella defensa	138072	S	29	0.00001	8	0.00000	4	0.00000	11	0.00000	61	0.00001
secondary endosymbiont of Ctenarytaina eucalypti	1199245	S	7	0.00000	0	0.00000	2	0.00000	1	0.00000	14	0.00000
secondary endosymbiont of Heteropsylla cubana	134287	S	2	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Candidatus Blochmannia floridanus	203907	S	9	0.00000	3	0.00000	1	0.00000	0	0.00000	0	0.00000
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	1505597	S	3	0.00000	1	0.00000	1	0.00000	1	0.00000	0	0.00000
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	1505596	S	2	0.00000	7	0.00000	10	0.00000	1	0.00000	1	0.00000
Blochmannia endosymbiont of Camponotus nipponensis	2681986	S	1	0.00000	1	0.00000	0	0.00000	1	0.00000	0	0.00000
Candidatus Blochmannia pennsylvanicus	101534	S	1	0.00000	1	0.00000	1	0.00000	2	0.00000	2	0.00000
Candidatus Blochmannia chromaiodes	251542	S	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Candidatus Doolittlea endobia	1778262	S	16	0.00001	2	0.00000	0	0.00000	5	0.00000	4	0.00000
Candidatus Tachikawaea gelatinosa	1410383	S	6	0.00000	0	0.00000	1	0.00000	0	0.00000	2	0.00000
Candidatus Annandia adelgestsuga	1302411	S	2	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00000
Candidatus Gullanella endobia	1070130	S	1	0.00000	1	0.00000	0	0.00000	0	0.00000	5	0.00000
Izhakiella sp. KSNA2	2579935	S	57	0.00002	71	0.00001	18	0.00001	39	0.00001	30	0.00000
Shimwellia blattae	563	S	52	0.00002	1	0.00000	0	0.00000	9	0.00000	31	0.00000
Limnobaculum parvum	2172103	S	25	0.00001	3	0.00000	3	0.00000	9	0.00000	0	0.00000
Candidatus Ishikawaella capsulata	168169	S	7	0.00000	0	0.00000	0	0.00000	0	0.00000	3	0.00000
Candidatus Riesia pediculicola	401619	S	6	0.00000	1	0.00000	0	0.00000	1	0.00000	0	0.00000
Candidatus Moranella endobia	1048758	S	2	0.00000	0	0.00000	1	0.00000	0	0.00000	7	0.00000
Metakosakonia sp. MRY16-398	2487150	S	4	0.00000	0	0.00000	0	0.00000	2	0.00000	2	0.00000
Morganella morganii	582	S	124810	0.04839	11579	0.00215	469	0.00013	55	0.00001	24	0.00000
Proteus vulgaris	585	S	86614	0.03358	2336	0.00043	19	0.00001	33	0.00001	8	0.00000
Proteus sp. ZN5	2697019	S	2756	0.00107	32	0.00001	0	0.00000	2	0.00000	0	0.00000
Proteus sp. CD3	1921565	S	1623	0.00063	21	0.00000	2	0.00000	1	0.00000	0	0.00000
Proteus mirabilis	584	S	2490	0.00097	72	0.00001	6	0.00000	4	0.00000	137	0.00002
Proteus cibarius	626774	S	1830	0.00071	28	0.00001	0	0.00000	0	0.00000	1	0.00000
Proteus columbae	1987580	S	1147	0.00044	28	0.00001	5	0.00000	20	0.00000	0	0.00000
Proteus hauseri	183417	S	454	0.00018	15	0.00000	6	0.00000	4	0.00000	0	0.00000
Providencia stuartii	588	S	264	0.00010	17	0.00000	21	0.00001	13	0.00000	10	0.00000
Providencia rettgeri	587	S	542	0.00021	43	0.00001	18	0.00001	62	0.00001	21	0.00000
Providencia heimbachae	333962	S	91	0.00004	5	0.00000	3	0.00000	2	0.00000	5	0.00000
Providencia rustigianii	158850	S	56	0.00002	1	0.00000	1	0.00000	3	0.00000	0	0.00000
Providencia alcalifaciens	126385	S	34	0.00001	0	0.00000	5	0.00000	2	0.00000	3	0.00000
Providencia sneebia	516075	S	29	0.00001	4	0.00000	7	0.00000	7	0.00000	8	0.00000
Providencia vermicola	333965	S	24	0.00001	1	0.00000	7	0.00000	7	0.00000	0	0.00000
Providencia sp. WCHPHu000369	2027290	S	77	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Xenorhabdus bovienii	40576	S	141	0.00005	36	0.00001	13	0.00000	17	0.00000	2	0.00000
Xenorhabdus poinarii	40577	S	32	0.00001	18	0.00000	9	0.00000	6	0.00000	18	0.00000
Xenorhabdus nematophila	628	S	29	0.00001	4	0.00000	5	0.00000	2	0.00000	15	0.00000
Xenorhabdus doucetiae	351671	S	20	0.00001	4	0.00000	8	0.00000	1	0.00000	13	0.00000
Xenorhabdus hominickii	351679	S	18	0.00001	17	0.00000	16	0.00000	38	0.00001	0	0.00000
Arsenophonus endosymbiont of Aphis craccivora	1231049	S	72	0.00003	0	0.00000	1	0.00000	0	0.00000	4	0.00000
Candidatus Arsenophonus lipoptenae	634113	S	11	0.00000	0	0.00000	0	0.00000	0	0.00000	5	0.00000
Arsenophonus nasoniae	638	S	10	0.00000	19	0.00000	12	0.00000	21	0.00000	6	0.00000
Arsenophonus endosymbiont of Aleurodicus dispersus	235559	S	3	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Photorhabdus thracensis	230089	S	22	0.00001	10	0.00000	14	0.00000	10	0.00000	0	0.00000
Photorhabdus laumondii	2218628	S	17	0.00001	16	0.00000	4	0.00000	30	0.00001	16	0.00000
Photorhabdus asymbiotica	291112	S	9	0.00000	2	0.00000	4	0.00000	9	0.00000	12	0.00000
Serratia marcescens	615	S	282	0.00011	87	0.00002	77	0.00002	147	0.00003	105	0.00002
Serratia rubidaea	61652	S	201	0.00008	48	0.00001	4	0.00000	22	0.00000	25	0.00000
Serratia sp. ATCC 39006	104623	S	89	0.00003	5	0.00000	4	0.00000	1	0.00000	5	0.00000
Serratia sp. FGI94	671990	S	52	0.00002	4	0.00000	0	0.00000	0	0.00000	3	0.00000
Serratia sp. P2ACOL2	2482769	S	18	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Serratia sp. KUDC3025	2597702	S	11	0.00000	15	0.00000	11	0.00000	17	0.00000	1	0.00000
Serratia sp. JUb9	2724469	S	17	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Serratia sp. 1D1416	2447890	S	3	0.00000	0	0.00000	3	0.00000	21	0.00000	21	0.00000
Serratia sp. LS-1	2485839	S	6	0.00000	0	0.00000	0	0.00000	0	0.00000	4	0.00000
Serratia sp. SCBI	488142	S	2	0.00000	0	0.00000	0	0.00000	6	0.00000	0	0.00000
Serratia sp. MYb239	2033438	S	2	0.00000	0	0.00000	0	0.00000	4	0.00000	0	0.00000
Serratia sp. FDAARGOS_506	2420306	S	1	0.00000	0	0.00000	0	0.00000	7	0.00000	0	0.00000
Serratia sp. 3ACOL1	2448483	S	1	0.00000	0	0.00000	6	0.00000	3	0.00000	0	0.00000
Serratia fonticola	47917	S	135	0.00005	18	0.00000	14	0.00000	29	0.00001	8	0.00000
Serratia ureilytica	300181	S	257	0.00010	15	0.00000	0	0.00000	0	0.00000	7	0.00000
Serratia quinivorans	137545	S	102	0.00004	23	0.00000	4	0.00000	1	0.00000	3	0.00000
